Sample_ID,Huntingtons_Disease,IGF2BP3,YTHDC1,PPP1CC,YTHDF2,CEBPD,YTHDF3,FTO,CEBPB,YTHDC2,YTHDF1
GSM1424090,0,-0.07792754,-0.0723298265,-0.1976672,-8.001335e-05,0.3453299,-0.025921817,0.05594398,0.03483431,-0.07457975,0.2222374
GSM1424091,0,0.02726655,-0.058254324999999996,-0.05997606,-0.001925229,-0.608529,-0.016600345000000002,0.02602501,-0.1766279,0.0241765,-0.1060457
GSM1424092,0,-0.0340811,0.059578965000000005,-0.06276302,0.03226668,-0.0980407,0.017265127999999998,0.09749065,-0.08313906,0.01875718,-0.06469715
GSM1424093,0,-0.0475162,0.049971064999999995,-0.05597419,-0.03436524,-0.1646568,0.004247605,0.05849146,-0.09793489,-0.01998154,-0.04082945
GSM1424094,0,0.005810821,-0.032220575,-0.02472571,0.04089454,-0.3150754,-0.0154206395,0.05662804,-0.1693956,0.06216884,-0.0918067
GSM1424095,0,-0.007046587,0.012552030000000002,-0.07239822,-0.06449364,0.2648227,-0.008364650000000001,0.05317722,0.2037718,-0.01802927,0.2638091
GSM1424096,0,0.06032754,0.037079098899999996,-0.07595558,-0.009586119,-0.5777282,-0.007195605000000001,0.07696167,-0.2356103,0.04449495,-0.1031266
GSM1424097,0,0.02186786,0.0254232105,0.008782074,0.0303545,-0.6456171,0.09102193,0.03955175,-0.3422599,0.1105605,-0.1281847
GSM1424098,0,0.4070258,-0.13510244999999999,-0.05288382,0.001291036,0.09292617,-0.035065485,0.01497891,0.07135119,-0.09242763,0.2800485
GSM1424099,0,0.003113551,0.141876485,0.02654271,0.0443946,-0.1926641,0.051610705,0.07352006,-0.1476606,-0.005958491,0.01749607
GSM1424100,0,-0.04283797,-0.021383309999999996,0.111234,0.0730482,0.136174,0.10689190999999999,-0.01729301,0.4480194,-0.04494729,0.08120254
GSM1424101,0,-0.01104049,0.029990635,-0.06840262,-0.01611451,-0.5269972,0.024579255,0.06646143,-0.1558865,0.006505821,-0.09693687
GSM1424102,0,0.08736014,0.035827200000000003,-0.00922507,0.02941361,-0.3660132,0.056194499999999994,0.01410272,-0.1751708,0.1259082,-0.099124
GSM1424103,0,0.04857648,-0.06614954,-0.1022163,0.01957255,-0.3981956,0.0017250195000000001,-0.03585618,-0.2137228,0.003547344,-0.09768609
GSM1424104,0,-0.01731984,-0.0317341135,-0.09538275,-0.03266785,-0.4365839,-0.006468206499999999,0.09341703,-0.2061181,-0.02767881,-0.05873694
GSM1424105,0,-0.05454705,-0.08417761500000001,-0.1734412,-0.1408258,-0.03925925,0.029893655,0.07904036,-0.0983332,-0.03257557,-0.08232542
GSM1424106,0,-0.004755013,-0.047093235,-0.05446505,0.05348031,-0.1561051,0.06147994500000001,-0.01705544,-0.01038104,-0.03404469,-0.02520604
GSM1424107,0,0.03149323,-0.01849771,-0.1073089,0.001112134,-0.2307981,-0.005276168500000001,0.07779025,-0.1755746,0.06211145,-0.1292596
GSM1424108,0,0.0661206,-0.010890759,-0.07129984,0.033789,-0.5480233,0.041531525,0.08980726,-0.1356765,0.1090801,-0.07926967
GSM1424109,0,-0.1111434,-0.040136635000000004,-0.1023381,-0.1324662,0.07965402,0.011790746999999999,-0.05856345,0.07645777,-0.1165037,-0.05201168
GSM1424110,0,-0.06246763,-0.040446319999999994,-0.1260217,-0.002220572,-0.2649198,-0.0174133935,0.06218418,-0.1023632,-0.03470948,-0.06484058
GSM1424111,0,-0.02386133,-0.041532454999999996,-0.0137378,0.07771569,-0.5281932,0.04644278,0.06260937,-0.2553145,0.03362403,-0.1228215
GSM1424112,0,0.06139311,-0.043544605,-0.06191748,0.05585643,-0.6531234,0.006773970000000001,0.09306499,-0.2783488,0.05035326,-0.08490669
GSM1424113,0,-0.08044461,0.07626387500000001,0.09304494,-0.02265405,0.0722412,0.075643195,-0.01546602,0.1822381,-0.05401303,0.01763631
GSM1424114,0,-0.0606776,0.0258963625,-0.01454588,0.0416405,-0.5286202,0.054256265,0.04849264,-0.2228369,0.07641519,-0.09580786
GSM1424115,0,0.007700127,0.015526504999999996,-0.07210939,-0.08572831,-0.4026361,0.0018122200000000007,-0.03155363,-0.1628618,-0.1248758,-0.09060536
GSM1424116,0,0.02687008,-0.030858898500000002,-0.01039818,0.004047689,-0.5265682,0.032328675,0.05958012,-0.2066124,0.03433415,-0.08636101
GSM1424117,0,0.03563459,-0.030249185,-0.02535825,0.05270078,-0.4471051,0.04850725,0.0767843,-0.1924141,0.06979016,-0.1360691
GSM1424118,0,0.03556412,-0.030561065,-0.06185362,0.05315042,-0.5527149,0.0116975915,0.06741407,-0.3081279,0.07083004,-0.09995324
GSM1424119,0,-0.02888874,0.027142305000000002,-0.04346113,-0.005168013,0.1708242,0.012392044999999999,0.06976952,0.04493843,-0.05263827,0.1052925
GSM1424120,0,-0.02129452,-0.07266241325,-0.125305,-0.1157935,-0.4357616,-0.012447745000000003,-0.04044304,-0.1361064,-0.02754517,-0.1380499
GSM1424121,0,0.01877312,-0.052215620000000004,-0.03534939,0.01792257,-0.4894839,0.027000598,0.02551896,-0.1988865,-0.02083087,-0.0567636
GSM1424122,0,0.03796702,0.0020090115,0.01930485,0.07396049,-0.5856591,0.07021422499999999,0.04670852,-0.2022673,0.06349576,-0.08004257
GSM1424123,0,0.0003345163,-0.046614115,-0.1516138,-0.004887413,0.1383148,0.003541555000000002,0.04400389,0.1222633,0.01440104,0.1550703
GSM1424124,0,0.05141664,-0.0033532449999999995,-0.01452926,0.03152174,-0.5248642,0.05822289,-0.02097383,-0.2808044,0.04515848,-0.1297637
GSM1424125,0,0.03971037,0.07927324499999999,0.05920664,0.02126567,-0.632682,0.06918071,0.0524723,-0.2589976,0.08447038,-0.09058946
GSM1424126,0,0.01506441,0.0855465675,0.06181002,0.02692644,-0.1709585,0.10121906,-0.06728193,-0.1548327,0.0437955,-0.07506126
GSM1424127,0,0.05259563,-0.0022142000000000012,-0.0485681,-0.01718993,-0.2981194,0.0351625525,-0.03327202,-0.2546405,0.006218604,-0.1008257
GSM1424128,0,-0.0185471,-0.08170648999999999,-0.05223763,-0.009349849,-0.2573854,-0.0020362799999999997,0.04475231,-0.05826768,0.04155363,-0.06062249
GSM1424129,0,-0.02446997,-0.0373188007,-0.1675457,-0.08912592,0.1366556,-0.04020758,0.05978929,0.04104611,-0.04290121,-0.01403577
GSM1424130,0,0.02663262,0.014401825,0.04381977,0.04074249,-0.600915,0.016853516,0.01015542,-0.1926069,0.0278392,-0.1042489
