Sample_ID,Huntingtons_Disease,PPP1CC,IGF2BP3,CEBPD,YTHDC2,FTO,YTHDC1,CEBPB,YTHDF2,METTL16,YTHDF1,YTHDF3
GSM86787,0,438.4276525,15.226410206666666,356.85510096,44.25616116,544.1399525,158.4376465976,386.2402315,338.273545,150.20899841333332,199.0265673,153.3698645
GSM86788,1,412.8160248,10.537401155,771.37345134,54.582900886666664,307.4338853,182.5506373564,972.8862068,206.18546974999998,147.00144476333335,375.0589035,186.251442
GSM86789,0,428.310413,12.143050124333334,266.146699295,41.91984332566667,546.1263668,129.680811291,657.5631747,356.02947735,153.10417650533333,237.9452514,174.8866548
GSM86790,1,462.9763126,9.357624031,318.414770625,58.084874289999995,417.6922187,194.44498318040002,517.0925392,220.71843445,181.56150603333333,246.9390933,167.8650836
GSM86791,0,330.5571333,5.012656475666667,125.592469135,47.99378957,842.3081752,97.9419651666,297.2282414,257.06699325,139.00946166666665,197.7582292,153.7468592
GSM86792,1,419.9210439,8.384330232666667,255.767525515,48.353332977,459.5037997,156.86789700799997,460.2517058,309.72777105,179.65733321333335,314.2449308,165.7645971
GSM86793,0,387.5081396,6.046463133666667,449.7215238205,48.18710715833333,811.4447632,121.74266083060002,573.8088226,263.52142295,126.59319075,207.2574547,215.0553759
GSM86794,1,446.4404739,7.871986996666666,106.7652988805,53.93875549333333,484.4729482,139.46727327979997,349.9222533,370.96541015,176.98996143333332,263.9078533,169.9835924
GSM86795,0,440.0001629,9.841418781,273.300974,52.74719169666667,711.2132203,113.086568508,641.574791,357.15525,155.10082151000003,206.3835238,143.9031011
GSM86796,0,457.6535079,5.242650351666668,151.1471033,40.36127182,748.0081331,126.0614585232,359.3841207,290.74056175,120.30623824999998,189.6260743,168.6603766
GSM86797,1,409.0190836,8.253148933333334,74.37224038,50.62039263,636.4853632,94.5999313244,286.6307719,331.91590659999997,103.34220365666668,230.1556484,151.0115353
GSM86798,0,348.9589302,3.6987195353333333,339.963514635,58.169592235,423.1785711,117.97900031639999,671.8509702,290.73306415,122.00693811333333,226.6447927,163.1478552
GSM86799,0,403.7113898,11.822029093333333,428.96628496,53.16609592,438.3042872,135.11925784800002,554.7749025,300.70167795,153.32747182,255.1967736,170.36139
GSM86800,1,421.936009,7.426663926333333,510.37717387500004,47.762365233333334,366.5949338,177.53141167220002,548.5783672,236.8426665,163.8259313466667,241.2351233,158.1677782
GSM86801,0,353.1274185,6.6426039333333335,283.5567062965,51.920816136666666,686.3107589,127.33531201180001,361.1169455,319.7777112,133.38606038333333,217.3857359,233.4957056
